tanggal,sentimen
2022-07-01,@cahbola69 Sementara yg sudah fix brp sponsor mas? Kayane kok lg indofood tok
2022-07-01,@360drajat @worksfess Sales apa dulu cobain deh sales di perusahaan FMCG kaya indofood wings dll.atau farmasi atau elektronik..kerjaan ga se berat yg dibayangkan gaji gede tunjangan oke hahaha
2022-07-01,@indofood_cbp @Indomielovers Halo min @indofood_cbp Saya ingin bertanya apakah saat ini PT Indofood sedang membuka ajuan kerjasama sponsorship? Jika iya untuk pengajuan proposal prosedurnya bagaimana dan kemana min? Terimakasih.
2022-07-01,@lotekdevotee Indofood bakal bangkrut kayaknya.dan bakal berdampak buat negara jg secara mereka pabrik multinasional.makanua presiden kesana
2022-07-01,@MachanKertas Nu Indofood gak sih kalo lo.
2022-07-01,@FOOD_FESS Lebih sering bli yg delmonte sama indofood sihh
2022-07-01, Indofood Sambal Balado Merah 200 gr ️ DISKON 57% https://t.co/37cy4ZpmS3 https://t.co/VzPFytGAKe
2022-07-01, sedih dan risih banget ngak si kalau liat sampah kek gini. Btw @GreenpeaceID bikin audit brand penghasil sampah di Pulau Tidung hasilnya kek gini. Ada kek indofood GG Mayora https://t.co/M3W2MAqwGP
2022-07-01,@ngokeeyyy @osssmz @infotwitwor_ Indofood
2022-07-01,@jerichoatmaja Utk jumlah dividen nya brp? Jadi untung hanya dr dividen ya bila kita beli INDF di 2012 ?
2022-07-01,@Hulk_SelluHijaU Indofood dibalik layar
2022-07-01,Dahan pohon menjulur ke jalan depan Indofood Ancol mohon dinas pertamanan merapihkan. Mohon bantuan Dinas pertamanan Kelurahan Ancol @tamanhutandki @DKIJakarta
2022-07-01,Jika kamu berinvestasi 1 juta pada INDF 10 tahun lalu sekarang uang itu menjadi 1 juta..sebuah investasi yang membagongkan.. Namun jika anda berinvestasi 1 juta utk membeli indomie 10 tahun lalu maka sekarang sudah menjadi 2 juta..Kalo gak basi.. https://t.co/zkWI2VoXIO
2022-07-01,@kurawa @jokowi Lebai.. Pernyataan resmi pemerintah Rusia menyatakan pertemuan membahas G20 pupuk dan gandum.. Gak ada membahas penghentian perang.. Btw pupuk ini untuk konglo sawit gandum untuk bogasari indofood ya?
2022-07-01,Indofood Sambal Balado Merah 200 gr #sangebanget putin rest in peace bubu https://t.co/LpenDdZaWd
2022-07-01,Indofood sambal balado merah https://t.co/dmtFYIkT6p https://t.co/j2iTtI5R8x
2022-07-01,@Leonita_Lestari Bullshitmu deek.. Gandum untuk bogasari dan indofood salim grup.. Pupuk kalium untuk konglomerat sawit.. Situ dapat recehan saja kagak..
2022-07-01,@JoniJuliar @DjajaBudi @PakAhmadUmar @na_dirs Benar.. Gandum untuk kebutuhan Grup Salim (bogasari dan indofood).. Pupuk untuk kebutuhan konglomerat sawit..
2022-07-01,@RomitsuT Jadi sebenarnya misi nya demi Perdamaian atau demi usaha Indofood ?
2022-07-01,@FOOD_FESS ABC indofood atau nasional
2022-07-01,Indofood Undang 3 Bintang Persija di Jakarta Fair Kemayoran 2022 https://t.co/7h9nOYf52Q
2022-07-02,Greenpeace: Mayora Indofood Gudang Garam Pencemar Terbesar di Pulau Tidung https://t.co/sqx6tqcevq #greenpeace #GudangGaram #Indofood #mayora
2022-07-02,Lowongan Indofood Untuk Informasi lebih lengkap cek di website https://t.co/pmLhGgZsVh https://t.co/86p3yPRS2I #lokertangerang #lokerjakarta https://t.co/0xrUjmRLkQ
2022-07-03,@Priagarislurus @CNNIndonesia Indofood rose brand segitiga biru
2022-07-03,Saya jadi kepikiran alangkah indahnya jika brand-brand kita yang besar di pasar global seperti Indofood (Indomie); Mayora (Kopiko Malkist Energen cs); Kalbe (Hydro Coco Deabetasol Extra Joss cs) dll. melakukan hal yang sama 🇮🇩🇮🇩🇮🇩
2022-07-03,Setujuuu saos sambal indofood extra pedas paling enak emang
2022-07-03,@FFOODFESS Pedes banget sumpah sebagai pecinta sambel indofood aku menyerah makan ini 
2022-07-03,@FOOD_FESS Atau sayur tahu toge Korea. Nanti kaldunya pake kaldu instan. Maggy atau indofood yg cube itu. nanti tinggal masukin tahu sama togenya bisa pake kembang tahu juga sama merica kalau mau. Semisal gasuka toge ganti aja togenya sama sausin/selada
2022-07-03,@sbmptnfess temen guee kakaknya kimur unpad. kerja di indofood jadi orang labnya gitu deh noh orangnya @gorenganmarvel
2022-07-03,Peluang Kerja di Indofood CBP Noodle Division Juli 2022 Persyaratan Minimal SMA/SMK https://t.co/8Kd1di4lZW
2022-07-03,Greenpeace: Mayora Indofood Gudang Garam Pencemar Terbesar di Pulau Tidung https://t.co/4VZ91pJHNP
2022-07-03,Ditopang Pinehill Simak Rekomendasi Saham Indofood CBP Sukses Makmur (ICBP) https://t.co/fL2WDYMKu0 #RekomendasiSaham
2022-07-03,@CNNIndonesia Padahal urusan gandum biar indofood tetep produksi mie instan berkesan pak dhe di suruh pengusaha untk nego dobol2 iya sih misi perdamaian damai buat pengusaha rakyat mah tetel aja di bikin ruwet susah urusan beli pertalite solar dan tim buru tilang elektonik di kampung2
2022-07-03,@yennywahid @jokowi Kirain mau mendamaikan perang..nggak taunya mau mengamankan pasokan tepung. Misi indofood ya?
2022-07-03,@MansonAcone @Dogelkarya82 @UyokBack @jokowi Cuma ngurus perdagangan gandum utk pabrik mie goreng Indofood saja dikesankan seakan-akan utusan perdamaian dunia HAHAHAHAHAA kalian kocak.
2022-07-03,Ada cerita: - asal muasal indofood - raja HPH *nostalgia*
2022-07-03,@gibran_tweet @indofood min.. ini lho diendors walikota yg anaknya presiden
2022-07-03,@keuangannews_id Kesana sbg juru damai indofood dong
